game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Valiant Hearts: The Great War,XONE,Ubisoft Montpellier,Platformer,,T,25-Jun-14,81,81
Danganronpa 2: Goodbye Despair,VITA,Spike Chunsoft,Action,No Online Multiplayer,M,2-Sep-14,81,88
Shadowrun: Dragonfall,PC,Harebrained Schemes LLC,General,,,27-Feb-14,81,82
Hatsune Miku: Project Diva F 2nd,VITA,Sega,Action,,T,18-Nov-14,81,85
Stick it to the Man!,WIIU,Zoink!,Action,,T,1-May-14,81,75
Europa Universalis IV: Conquest of Paradise,PC,Paradox Development Studio,Strategy,,,14-Jan-14,81,77
Company of Heroes 2: The Western Front Armies,PC,"Relic, Relic Entertainment",Strategy,,M,23-Jun-14,80,69
Watch Dogs,PS4,Ubisoft Montreal,Modern,Up to 8 ,M,27-May-14,80,64
Metal Gear Solid V: Ground Zeroes,PC,Kojima Productions,Action Adventure,No Online Multiplayer,M,18-Dec-14,80,76
Trials Fusion,PC,RedLynx,Driving,,E10+,16-Apr-14,80,69
Super Time Force,XONE,Capy Games,Action,,T,14-May-14,80,66
The Banner Saga,PC,Stoic,Role-Playing,No Online Multiplayer,T,14-Jan-14,80,80
Pix the Cat,PS4,Pasta Games,Action,,E,7-Oct-14,80,60
Trials Fusion,XONE,RedLynx,Driving,,E10+,16-Apr-14,80,71
Elite: Dangerous,PC,Frontier Developments,Sci-Fi,,T,16-Dec-14,80,67
Game of Thrones: Episode One - Iron From Ice,XONE,Telltale Games,Action,,M,3-Dec-14,80,79
The Sly Collection,VITA,Sanzaru Games,Miscellaneous,,E10+,27-May-14,80,78
Danganronpa: Trigger Happy Havoc,VITA,Spike Chunsoft,Action Adventure,No Online Multiplayer,M,11-Feb-14,80,87
Tales From The Borderlands: Episode 1 - Zer0 Sum,PS4,Telltale Games,Miscellaneous,,M,25-Nov-14,80,79
Icewind Dale: Enhanced Edition,PC,"Black Isle Studios, Beamdog, Overhaul Games",Role-Playing,,,30-Oct-14,80,73
Far Cry 4,PC,Ubisoft Montreal,Action,,M,17-Nov-14,80,68
Super Time Force Ultra,PC,Capy Games,Action,No Online Multiplayer,,25-Aug-14,80,65
Star Wars Pinball: Heroes Within,PS4,Zen Studios,Action,,E10+,29-Apr-14,80,52
Luftrausers,PC,Vlambeer,General,,E,18-Mar-14,80,68
Kirby: Triple Deluxe,3DS,HAL Labs,General,No Online Multiplayer,E,2-May-14,80,87
Age of Wonders III,PC,Triumph Studios,Strategy,,T,31-Mar-14,80,80
inFamous: Second Son,PS4,Sucker Punch,Sci-Fi,No Online Multiplayer,T,21-Mar-14,80,80
Madden NFL 15,XONE,EA Sports,Sports,,E,26-Aug-14,80,62
Football Manager 2015,PC,Sports Interactive,Sports,,,7-Nov-14,80,61
BioShock Infinite: Burial at Sea - Episode Two,PC,Irrational Games,Shooter,,M,25-Mar-14,80,85
ArcheAge,PC,XLGAMES,Role-Playing,,M,16-Sep-14,80,37
Pushmo World,WIIU,Intelligent Systems,Miscellaneous,,E,19-Jun-14,80,80
Wolfenstein: The New Order,PS4,MachineGames,General,,M,20-May-14,79,81
Dungeon of the Endless,PC,Amplitude Studios,Strategy,Online Multiplayer,,27-Oct-14,79,77
The Evil Within,XONE,Tango Gameworks,Horror,,M,14-Oct-14,79,74
Valiant Hearts: The Great War,PC,Ubisoft Montpellier,Platformer,No Online Multiplayer,T,25-Jun-14,79,86
Geometry Wars 3: Dimensions,PC,Lucid Games,Action,,E,25-Nov-14,79,62
LittleBigPlanet 3,PS4,Sumo Digital,Action,Up to 4 ,E,18-Nov-14,79,72
Alien: Isolation,PS4,Creative Assembly,Action Adventure,No Online Multiplayer,M,7-Oct-14,79,82
Professor Layton VS Phoenix Wright Ace Attorney,3DS,Level 5,General,No Online Multiplayer,T,29-Aug-14,79,83
Trials Fusion,PS4,RedLynx,Driving,Up to 4 ,E10+,15-Apr-14,79,71
Resident Evil 4: Ultimate HD Edition,PC,"Capcom, QLOC",Action Adventure,No Online Multiplayer,M,27-Feb-14,79,81
OlliOlli,VITA,Tom Hegarty,Sports,,E,21-Jan-14,79,78
The Last Door,PC,The Game Kitchen,Adventure,,,20-May-14,79,76
Teslagrad,WIIU,Rain Games,Action,,E,11-Sep-14,79,81
Wolfenstein: The New Order,XONE,MachineGames,General,No Online Multiplayer,M,20-May-14,79,78
Pro Evolution Soccer 2015,XONE,Konami,Action,Up to 22 ,E,11-Nov-14,79,68
Scram Kitty and His Buddy on Rails,WIIU,Dakko Dakko,General,,E,15-May-14,79,77
Atelier Rorona Plus: The Alchemist of Arland,VITA,Gust,Role-Playing,,T,22-Jul-14,79,79
Dark Souls II: Crown of the Old Iron King,PC,From Software,Role-Playing,,,26-Aug-14,79,76
DG2: Defense Grid 2,XONE,Hidden Path Entertainment,Strategy,,E10+,24-Sep-14,78,70
The Journey Down: Chapter Two,PC,SkyGoblin,Adventure,No Online Multiplayer,,25-Aug-14,78,71
Alien: Isolation,XONE,Creative Assembly,Action Adventure,,M,7-Oct-14,78,79
The Walking Dead: Season Two Episode 5 - No Going Back,PC,Telltale Games,General,,M,26-Aug-14,78,84
Call of Duty: Advanced Warfare,PC,Sledgehammer Games,Action,,M,3-Nov-14,78,46
1001 Spikes,PS4,Nicalis,Action,,T,3-Jun-14,78,66
Swords & Soldiers HD,WIIU,Two Tribes,Strategy,,T,22-May-14,78,64
LISA,PC,Dingaling,Action,No Online Multiplayer,M,15-Dec-14,78,87
OlliOlli,PC,Tom Hegarty,Sports,,E,22-Jul-14,78,65
Strider,PC,Double Helix Games,Action Adventure,No Online Multiplayer,E10+,19-Feb-14,78,75
Mario Golf: World Tour,3DS,Camelot Software Planning,Sports,Up to 4 ,E,2-May-14,78,81
Don't Starve: Console Edition,PS4,Klei Entertainment,Action Adventure,,T,7-Jan-14,78,71
Watch Dogs,XONE,Ubisoft Montreal,Action Adventure,Up to 8 ,M,27-May-14,78,59
So Many Me,PC,Extend Interactive,Miscellaneous,No Online Multiplayer,RP,17-Jul-14,78,71
Skylanders Trap Team,XONE,Toys for Bob,Action,,E10+,5-Oct-14,78,71
GRID Autosport,PC,Codemasters,Driving,,E,26-Jun-14,78,63
The Walking Dead: Season Two Episode 4 - Amid the Ruins,PC,Telltale Games,General,,M,22-Jul-14,78,81
Hearthstone: Heroes of Warcraft - Curse of Naxxramas,PC,Blizzard Entertainment,Strategy,,,22-Jul-14,78,65
Skylanders Trap Team,PS4,Toys for Bob,Action,,E10+,5-Oct-14,78,56
Plants vs Zombies: Garden Warfare,PC,PopCap,General,,E10+,24-Jun-14,78,77
Wargame: Red Dragon,PC,Eugen Systems,Strategy,,,17-Apr-14,78,79
Inazuma Eleven,3DS,Level 5,Sports,,E10+,13-Feb-14,78,79
Joe Dever's Lone Wolf HD Remastered,PC,Forge Reply,Action,No Online Multiplayer,,27-Nov-14,78,68
Five Nights at Freddy's,PC,animdude,Action Adventure,No Online Multiplayer,,8-Aug-14,78,71
Outlast,PS4,Red Barrels,Horror,,M,4-Feb-14,78,78
Game of Thrones: Episode One - Iron From Ice,PS4,Telltale Games,Action,,M,2-Dec-14,77,73
Sherlock Holmes: Crimes & Punishments,PC,Frogwares,Adventure,No Online Multiplayer,M,29-Sep-14,77,77
Valiant Hearts: The Great War,PS4,Ubisoft Montpellier,Platformer,,T,24-Jun-14,77,83
Mini Metro,PC,Dinosaur Polo Club,Strategy,No Online Multiplayer,,11-Aug-14,77,77
The Incredible Adventures of Van Helsing II,PC,NeocoreGames,Role-Playing,,T,13-Jun-14,77,76
Azure Striker Gunvolt,3DS,Inti Creates,Action,,E10+,29-Aug-14,77,81
Surge Deluxe,VITA,FuturLab,Miscellaneous,,E,4-Feb-14,77,70
NEO Scavenger,PC,Blue Bottle Games,Sci-Fi,,,15-Dec-14,77,77
Child of Light,PC,Ubisoft Montreal,Action,No Online Multiplayer,E10+,29-Apr-14,77,81
Watch Dogs,PC,Ubisoft Montreal,Miscellaneous,,M,26-May-14,77,48
Tappingo 2,3DS,Goodbye Galaxy Games,Miscellaneous,,E,4-Sep-14,77,74
Fantasia: Music Evolved,XONE,Harmonix Music Systems,Music,,E10+,21-Oct-14,77,74
Strider,PS4,Double Helix Games,Fantasy,,E10+,18-Feb-14,77,71
Sleeping Dogs: Definitive Edition,PS4,United Front Games,Action Adventure,,M,14-Oct-14,77,73
The Keep,3DS,Cinemax,Role-Playing,,T,11-Sep-14,77,79
Warriors Orochi 3 Ultimate,PS4,Omega Force,Action,2,T,2-Sep-14,77,66
Tetrobot and Co.,WIIU,Swing Swing Submarine,Puzzle,,E,30-Oct-14,77,85
DG2: Defense Grid 2,PS4,Hidden Path Entertainment,Strategy,2,E10+,23-Sep-14,77,73
D4: Dark Dreams Don't Die,XONE,Access Games,Action,,M,19-Sep-14,76,72
War Thunder,PS4,Gaijin Entertainment,Action,Up to 32 ,T,3-Jun-14,76,59
Destiny,PS4,"Bungie Software, Bungie",Shooter,Up to 16 ,T,9-Sep-14,76,61
Chariot,PS4,Frima Studio,Action,,E,30-Sep-14,76,72
GoD Factory: Wingmen,PC,Nine Dots Studio,Simulation,,T,29-Aug-14,76,66
Escape Goat 2,PC,MagicalTimeBean,Action,No Online Multiplayer,,24-Mar-14,76,75
Pokemon Art Academy,3DS,Headstrong Games,Miscellaneous,,E,24-Oct-14,76,78
Strider,XONE,Double Helix Games,Fantasy,,E10+,19-Feb-14,76,70
Race the Sun,PS4,Flippfly,Action,,E,21-Oct-14,76,61
The Fall,PC,Over The Moon,Action,No Online Multiplayer,,30-May-14,76,72
Plants vs Zombies: Garden Warfare,XONE,PopCap,General,,E10+,25-Feb-14,76,75
Samurai Warriors 4,PS4,Omega Force,Action,2,T,21-Oct-14,76,76
The Wolf Among Us: Episode 2 - Smoke and Mirrors,PC,Telltale Games,Fantasy,,M,4-Feb-14,76,83
Tower of Guns,PC,Terrible Posture Games,Action,,E10+,4-Mar-14,76,72
Ratchet & Clank Collection,VITA,Mass Media,Miscellaneous,,E10+,29-Jul-14,76,79
Broken Age,PC,Double Fine Productions,Third-Person,,E10+,28-Jan-14,76,69
The Lost Chronicles of Zerzura,PC,Cranberry Production,Adventure,,,10-Jul-14,76,69
Hyrule Warriors,WIIU,Omega Force,Action,No Online Multiplayer,T,26-Sep-14,76,83
Lone Survivor: The Director's Cut,WIIU,"Curve Studios, superflat games",Action Adventure,,T,16-Oct-14,76,80
XType Plus,WIIU,PhobosLab,Action,,E,14-Aug-14,76,82
Metal Gear Solid V: Ground Zeroes,XONE,Kojima Productions,Action Adventure,,M,18-Mar-14,76,55
Tales of Hearts R,VITA,7thChord,Role-Playing,,T,11-Nov-14,76,81
Watch Dogs: Bad Blood,PS4,Ubisoft Montreal,Action Adventure,,M,30-Sep-14,76,73
Borderlands: The Pre-Sequel,PC,2K Australia,Action,,M,13-Oct-14,75,63
Pure Pool,PS4,VooFoo Studios,Alternative,2,E,29-Jul-14,75,71
Plants vs Zombies: Garden Warfare,PS4,PopCap,Action,Up to 24 ,E10+,19-Aug-14,75,75
Infested Planet,PC,Rocket Bear Games,Strategy,No Online Multiplayer,,6-Mar-14,75,77
Hohokum,PS4,Honeyslug Ltd,General,,E10+,12-Aug-14,75,63
Metal Gear Solid V: Ground Zeroes,PS4,Kojima Productions,Action Adventure,No Online Multiplayer,M,18-Mar-14,75,63
Tropico 5,PC,"Haemimont, Haemimont Games",Tycoon,,T,23-May-14,75,70
Jazzpunk,PC,Necrophone,General,,,7-Feb-14,75,77
MIND: Path to Thalamus,PC,Carlos Coronado,Action,No Online Multiplayer,,5-Aug-14,75,68
Inazuma Eleven Go: Shadow,3DS,Level 5,Sports,,,13-Jun-14,75,71
Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,XONE,Capcom Vancouver,Action,,M,9-Jun-14,75,62
Gravity Crash Ultra,VITA,Just Add Water,Action,,E,12-Aug-14,75,71
FRACT OSC,PC,Phosfiend Systems,Miscellaneous,,,22-Apr-14,75,61
Destiny,XONE,"Bungie Software, Bungie",Shooter,Up to 16 ,T,9-Sep-14,75,55
The Denpa Men 3: The Rise of Digitoll,3DS,Genius Sonority Inc.,Role-Playing,,E,8-May-14,75,77
Stick it to the Man!,PS4,Zoink!,Action,,T,6-May-14,75,67
The Evil Within,PS4,Tango Gameworks,Horror,No Online Multiplayer,M,14-Oct-14,75,75
Roundabout,PC,No Goblin,Driving,No Online Multiplayer,M,18-Sep-14,75,77
Fenix Rage,PC,Green Lava Studios,Action,No Online Multiplayer,,24-Sep-14,75,69
Sleeping Dogs: Definitive Edition,XONE,United Front Games,Action Adventure,,M,14-Oct-14,75,78
The Wolf Among Us: Episode 4 - In Sheep's Clothing,PC,Telltale Games,Fantasy,,M,27-May-14,75,82
Road Not Taken,PC,Spry Fox,Miscellaneous,No Online Multiplayer,E,5-Aug-14,75,65
Game of Thrones: Episode One - Iron From Ice,PC,Telltale Games,Action,,M,2-Dec-14,75,73
Anomaly 2,PS4,11 bit studios,Strategy,,T,16-Sep-14,74,69
Lara Croft and the Temple of Osiris,PS4,Nixxes Software,Action,Up to 4 ,T,9-Dec-14,74,66
Dead Nation: Apocalypse Edition,PS4,Sony Interactive Entertainment,Action,,M,4-Mar-14,74,71
Inazuma Eleven Go: Light,3DS,Level 5,Sports,,,13-Jun-14,74,76
Awesomenauts Assemble!,PS4,"Abstraction Games, Ronimo Games",Strategy,Up to 6 ,T,4-Mar-14,74,70
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,PC,Pinkerton Road Studio,Adventure,,,15-Oct-14,74,77
CastleStorm: Definitive Edition,PS4,Zen Studios,Strategy,2,T,23-Sep-14,74,58
Shadows: Heretic Kingdoms,PC,Games Farm,Role-Playing,No Online Multiplayer,,13-Jun-14,74,71
Dance Central Spotlight,XONE,Harmonix Music Systems,Action,,T,2-Sep-14,74,67
Paper Monsters Recut,WIIU,Mobot Studios LLC,Action,,E,16-Oct-14,74,80
Costume Quest 2,PS4,Double Fine Productions,Role-Playing,,E10+,28-Oct-14,74,66
IL-2 Sturmovik: Battle of Stalingrad,PC,1C Game Studios,WWI,,T,14-Aug-14,74,60
Cloud Chamber,PC,Investigate North Aps,Role-Playing,Massively Multiplayer,,7-Aug-14,74,73
Yumi's Odd Odyssey,3DS,Studio Saizensen,Platformer,,E,20-Mar-14,74,77
Shadow Warrior,XONE,Flying Wild Hog,Action,,M,21-Oct-14,74,76
LEGO Batman 3: Beyond Gotham,XONE,TT Games,Action Adventure,,E10+,11-Nov-14,74,70
Sherlock Holmes: Crimes & Punishments,PS4,Frogwares,Adventure,,M,30-Sep-14,73,72
Life Goes On,PC,Infinite Monkeys,Platformer,No Online Multiplayer,,17-Apr-14,73,72
Another World: 20th Anniversary Edition,WIIU,The Digital Lounge,Action,,T,19-Jun-14,73,72
Project Spark,XONE,Microsoft Game Studios,General,,E10+,4-Mar-14,73,69
Scrolls,PC,Mojang AB,Action,,,12-Dec-14,73,75
Titanfall: Expedition,XONE,Respawn Entertainment,Action,,M,15-May-14,73,47
Outlast: Whistleblower,PC,,Action Adventure,,M,6-May-14,73,79
NES Remix 2,WIIU,Indies Zero ,Miscellaneous,,E,25-Apr-14,73,80
Chariot,XONE,Frima Studio,Action,,E,1-Oct-14,73,76
Space Run,PC,Passtech Games,Strategy,,,13-Jun-14,73,76
Xeodrifter,3DS,Renegade Kid,Action,,E,11-Dec-14,73,71
King's Bounty: Dark Side,PC,1C-Softclub,Strategy,No Online Multiplayer,,16-May-14,73,63
Cosmophony,WIIU,Moving Player,Action,,E,30-Oct-14,73,70
Fantasy Life,3DS,"Level 5, Brownie Brown",Role-Playing,No Online Multiplayer,E10+,24-Oct-14,73,84
Never Alone,PS4,Upper One Games,Action,,E10+,18-Nov-14,73,66
Freedom Wars,VITA,"Dimps Corporation, SCE Japan Studio",Role-Playing,,T,28-Oct-14,73,83
MotoGP 14,PS4,Milestone S.r.l,Driving,,E,4-Nov-14,73,65
Futuridium EP Deluxe,PS4,MixedBag Srl,Action,,E,30-Sep-14,73,56
Hack 'n' Slash,PC,Double Fine Productions,Action,No Online Multiplayer,,9-Sep-14,73,53
Lara Croft and the Temple of Osiris,PC,Nixxes Software,Action,,T,8-Dec-14,73,56
Lords of the Fallen,PC,"City Interactive, Deck 13",Role-Playing,No Online Multiplayer,M,28-Oct-14,73,69
LEGO Batman 3: Beyond Gotham,PS4,TT Games,Action Adventure,No Online Multiplayer,E10+,11-Nov-14,73,69
Strike Vector,PC,"Strike Vector Team, Ragequit Corporation",General,,,28-Jan-14,73,77
Warlock 2: The Exiled,PC,Paradox Interactive,Strategy,,,10-Apr-14,73,72
Banished,PC,Shining Rock Software,General,,,18-Feb-14,73,81
A Story About My Uncle,PC,Gone North Games,Action,,,28-May-14,73,72
Always Sometimes Monsters,PC,Vagabond Dog,General,No Online Multiplayer,,21-May-14,73,72
Warriors Orochi 3 Ultimate,XONE,Omega Force,Action,,T,2-Sep-14,73,70
Disney Infinity 2.0 Edition,XONE,Avalanche Software,Action Adventure,,E10+,23-Sep-14,73,47
inFamous: First Light,PS4,Sucker Punch,Action Adventure,,T,26-Aug-14,73,74
God of War Collection,VITA,"Sanzaru Games, Sanzaru Games, Inc.",Action Adventure,,M,6-May-14,73,75
Gigantic Army,PC,Astro Port,General,No Online Multiplayer,,5-Feb-14,73,64
Dustforce,VITA,"Hitbox , QLOC",Action,,E10+,4-Feb-14,73,69
Dreamfall Chapters Book One: Reborn,PC,Red Thread Games,Adventure,,,21-Oct-14,72,76
Armillo,WIIU,Fuzzy Wuzzy Games,Action,,E,3-Jul-14,72,80
Full Bore,PC,Whole Hog Games,Miscellaneous,,,6-May-14,72,67
The Last Federation,PC,"Arcen Games, LLC",Strategy,,,18-Apr-14,72,69
Oddworld: Munch's Oddysee HD,VITA,Just Add Water,Action,1 Player,T,16-Dec-14,72,80
Lara Croft and the Temple of Osiris,XONE,Crystal Dynamics,Action,,T,9-Dec-14,72,59
Just Dance 2015,PS4,Ubisoft,Action,Up to 8 ,E10+,21-Oct-14,72,57
Killzone: Shadow Fall - Intercept,PS4,Guerrilla,Action,Up to 4 ,M,24-Jun-14,72,67
The Fall,WIIU,Over The Moon,Action Adventure,,T,26-Aug-14,72,75
Broken Sword 5: The Serpents' Curse - Part II,PC,Revolution Software,Adventure,,,17-Apr-14,72,76
MouseCraft,PC,Crunching Koalas,General,No Online Multiplayer,E,8-Jul-14,72,68
Mighty Gunvolt,3DS,Inti Creates,Action,,E,29-Aug-14,72,69
Cloudbuilt,PC,Coilworks,Action,,E10+,20-Mar-14,72,77
LEGO The Hobbit,PS4,TT Games,Historic,No Online Multiplayer,E10+,8-Apr-14,72,66
Sherlock Holmes: Crimes & Punishments,XONE,Frogwares,Adventure,,M,30-Sep-14,72,67
Black The Fall,PC,Sand Sailor Studio,Action,No Online Multiplayer,T,4-Jul-14,72,70
Assassin's Creed Unity,XONE,"Ubisoft, Ubisoft Montreal",Action Adventure,Up to 4 ,,11-Nov-14,72,42
Heavy Bullets,PC,Terri Vellimann,Action,No Online Multiplayer,,15-May-14,72,76
Unepic,WIIU,EnjoyUp Games,Action,,T,16-Jan-14,72,75
Space Hulk Ascension,PC,"Full Control ApS, Full Control",Strategy,No Online Multiplayer,T,12-Nov-14,72,73
Never Alone,PC,Upper One Games,Action,,E10+,18-Nov-14,72,63
The Last Tinker: City of Colors,PC,Mimimi Productions,Action,,E10+,12-May-14,72,68
Steel Empire,3DS,Mebius,Action,,E,31-Jul-14,72,75
MouseCraft,PS4,Crunching Koalas,Miscellaneous,,E,8-Jul-14,72,56
10 Second Ninja,PC,GameDesignDan,Action,,,5-Mar-14,72,74
The Crew,PC,"Ubisoft Reflections, Ivory Tower",GT / Street,,T,1-Dec-14,71,63
Screencheat,PC,Samurai Punk,Sci-Fi,,,21-Oct-14,71,73
Killer Is Dead: Nightmare Edition,PC,Grasshopper Manufacture,Action Adventure,,M,23-May-14,71,64
Lords of Xulima,PC,Numantian Games,Role-Playing,,,14-Nov-14,71,78
Disney Magical World,3DS,h.a.n.d. Inc.,Simulation,,E,11-Apr-14,71,74
Styx: Master of Shadows,PC,Cyanide,Action Adventure,No Online Multiplayer,M,7-Oct-14,71,72
J.U.L.I.A.: Among the Stars,PC,Cardboard Box Entertainment,Strategy,No Online Multiplayer,,12-Sep-14,71,76
Disney Infinity 2.0 Edition,PS4,Avalanche Software,Action Adventure,Up to 4 ,E10+,23-Sep-14,71,59
Tomodachi Life,3DS,Nintendo,Simulation,No Online Multiplayer,E,6-Jun-14,71,76
Lords of the Fallen,XONE,"City Interactive, Deck 13",Role-Playing,,M,28-Oct-14,71,66
Toukiden: The Age of Demons,VITA,Omega Force,General,,T,11-Feb-14,71,80
Might & Magic X: Legacy,PC,Limbic Entertainment,Fantasy,,,23-Jan-14,71,73
The Elder Scrolls Online,PC,ZeniMax Media,First-Person,Massively Multiplayer,M,4-Apr-14,71,58
Driveclub,PS4,Evolution Studios,GT / Street,Up to 12 ,E,7-Oct-14,71,62
To End All Wars,PC,AGEOD,Strategy,,,29-Aug-14,71,75
The LEGO Movie Videogame,PS4,TT Games,Fantasy,No Online Multiplayer,E10+,7-Feb-14,71,71
Sniper Elite III,PC,Rebellion,Shooter,,M,27-Jun-14,71,69
Assassin's Creed Unity,PC,"Ubisoft, Ubisoft Montreal",Action Adventure,,M,11-Nov-14,70,33
Dead State,PC,DoubleBear Productions,General,No Online Multiplayer,,4-Dec-14,70,65
Styx: Master of Shadows,PS4,Cyanide,Sci-Fi,,M,7-Oct-14,70,64
Steel Diver: Sub Wars,3DS,Nintendo,Simulation,,E10+,13-Feb-14,70,74
Demon Gaze,VITA,Experience Inc.,General,,T,22-Apr-14,70,75
Dead Rising 3: Apocalypse Edition,PC,Capcom Vancouver,Action,,M,5-Sep-14,70,56
The Golf Club,PC,HB Studios Multimedia,Traditional,,E,19-Aug-14,70,62
Road Not Taken,PS4,Spry Fox,Miscellaneous,,E,5-Aug-14,70,56
Inazuma Eleven 3: Team Ogre Attacks!,3DS,Level 5,Sports,,,14-Feb-14,70,71
Just Dance 2015,XONE,Ubisoft,Action,,E10+,21-Oct-14,70,74
Tengami,WIIU,Nyamyam,Adventure,,E,13-Nov-14,70,76
Thief,PC,Nixxes Software,Fantasy,No Online Multiplayer,M,25-Feb-14,70,59
Lumino City,PC,State of Play Games,Adventure,No Online Multiplayer,,2-Dec-14,70,76
EA Sports UFC,XONE,EA Sports,General,2,T,17-Jun-14,70,62
Anomaly Defenders,PC,11 bit studios,Strategy,,,29-May-14,70,65
Mercenary Kings,PS4,Tribute Games,Action,Up to 4 ,T,1-Apr-14,70,58
Worms Battlegrounds,XONE,Team 17,Strategy,,E10+,30-May-14,70,62
Shadow Warrior,PS4,Flying Wild Hog,Action,,M,21-Oct-14,70,73
The Sims 4,PC,Maxis,Virtual Life,No Online Multiplayer,T,2-Sep-14,70,40
Assassin's Creed Unity,PS4,"Ubisoft, Ubisoft Montreal",Action Adventure,Up to 4 ,M,11-Nov-14,70,50
Call of Duty: Ghosts - Devastation,XONE,Infinity Ward,Action,,M,3-Apr-14,70,58
Pokemon Battle Trozei,3DS,Genius Sonority Inc.,Miscellaneous,,E,20-Mar-14,70,74
EA Sports UFC,PS4,EA Sports,General,2,T,17-Jun-14,70,61
Halfway,PC,Robotality,Sci-Fi,,,22-Jul-14,69,61
Styx: Master of Shadows,XONE,Cyanide,Action Adventure,,M,8-Oct-14,69,71
Thief,XONE,Eidos Montreal,Fantasy,No Online Multiplayer,M,25-Feb-14,69,59
Abyss Odyssey,PC,ACE Team,Action Adventure,,T,15-Jul-14,69,74
LEGO The Hobbit,XONE,TT Games,Historic,,E10+,8-Apr-14,69,69
Murasaki Baby,VITA,Ovosonico,Action Adventure,,E,16-Sep-14,69,70
Hyperdimension Neptunia Re;Birth1,VITA,Felistella,Role-Playing,No Online Multiplayer,T,26-Aug-14,69,77
Octodad: Dadliest Catch,PS4,Kevin Zuhn,Modern,,E10+,22-Apr-14,69,68
Magicka: Wizard Wars,PC,Paradox North,Action Adventure,,,27-May-14,69,73
Dynasty Warriors 8: Xtreme Legends Complete Edition,PS4,Omega Force,Action,2,T,25-Mar-14,69,71
Toybox Turbos,PC,Codemasters,Driving,,E,11-Nov-14,69,63
Minimum,PC,Human Head Studios,Action,,,10-Sep-14,69,65
Octodad: Dadliest Catch,PC,"Young Horses, Inc",Modern,No Online Multiplayer,E10+,30-Jan-14,69,76
Lichdom: Battlemage,PC,"Xaviant Games, Xaviant",Role-Playing,No Online Multiplayer,,19-Mar-14,69,68
The LEGO Movie Videogame,XONE,TT Games,Action Adventure,No Online Multiplayer,E10+,7-Feb-14,69,67
Ultimate NES Remix,3DS,Indies Zero ,Miscellaneous,,E,7-Nov-14,69,77
Invizimals: The Alliance,VITA,Novarama,Card Battle,,E10+,30-Sep-14,69,66
The Marvellous Miss Take,PC,Wonderstruck Games,Adventure,,,20-Nov-14,69,64
Shadowgate,PC,Zojoi Studios,Action,No Online Multiplayer,,21-Aug-14,68,71
Metrico,VITA,Digital Dreams,General,,E,5-Aug-14,68,58
Squids Odyssey,WIIU,The Game Bakers,Role-Playing,,E,22-May-14,68,62
Nom Nom Galaxy,PC,Q-Games,Action,,,3-Aug-14,68,61
The LEGO Movie Videogame,PC,TT Games,Action Adventure,No Online Multiplayer,E10+,7-Feb-14,68,68
Runers,PC,LGK Games,Action,No Online Multiplayer,,2-Sep-14,68,69
Strike Suit Zero: Director's Cut,PS4,Born Ready Games,Action,,T,8-Apr-14,68,64
Gauntlet (2014),PC,Warner Bros. Interactive Entertainment,Role-Playing,,M,23-Sep-14,68,71
Men of War: Assault Squad 2,PC,"1C, 1C Company",Strategy,,,20-Mar-14,68,63
"Warhammer 40,000: Armageddon",PC,"The Lordz Games Studio, Flashback Games",Strategy,,,26-Nov-14,68,66
Costume Quest 2,PC,Double Fine Productions,Role-Playing,No Online Multiplayer,E10+,7-Oct-14,68,75
Neverending Nightmares,PC,Infinitap Games,Horror,,,26-Sep-14,68,71
Pure Pool,XONE,VooFoo Studios,Alternative,,E,14-Nov-14,68,79
SPACECOM,PC,FLOW COMBINE,Strategy,,,17-Sep-14,68,76
A Golden Wake,PC,Grundislav Games,Miscellaneous,,,9-Oct-14,68,60
The Evil Within,PC,Tango Gameworks,Horror,No Online Multiplayer,M,13-Oct-14,68,62
Tesla Effect: A Tex Murphy Adventure,PC,Big Finish Games,Adventure,No Online Multiplayer,,7-May-14,68,85
Rollers of the Realm,PC,Phantom Compass,Miscellaneous,,T,18-Nov-14,68,74
Dead Nation,VITA,,Action,,M,15-Apr-14,68,79
The Witcher Adventure Game,PC,Can Explode,Adventure,,,27-Nov-14,68,60
Tennis in the Face,PS4,"10tons Ltd, 10tons",Puzzle,,T,9-Dec-14,68,49
Munin,PC,Gojira,Action,No Online Multiplayer,,10-Jun-14,68,68
Lords of the Fallen,PS4,"City Interactive, Deck 13",Action RPG,No Online Multiplayer,M,28-Oct-14,68,65
Ancient Space,PC,CreativeForge Games,Strategy,No Online Multiplayer,,23-Sep-14,68,74
Tetris Ultimate,3DS,"Ubisoft, Ubisoft San Francisco",Puzzle,,E,11-Nov-14,68,40
Sword Art Online: Hollow Fragment,VITA,"Bandai Namco Games, Aquria",Role-Playing,Up to 4 ,T,19-Aug-14,67,76
Monster Monpiece,VITA,Compile Heart,Strategy,,M,27-May-14,67,77
Senran Kagura Shinovi Versus,VITA,"Tamsoft, Marvelous AQL",Action,Up to 4 ,M,14-Oct-14,67,78
Phantom Breaker: Battle Grounds,VITA,Division2,Action,Up to 4 ,E10+,12-Aug-14,67,66
Train Fever,PC,Urban Games,Simulation,,,4-Sep-14,67,69
