game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Atlus,Role-Playing,No Online Multiplayer,T,23-Aug-11,78,43
Tropico 4,PC,"Haemimont, Haemimont Games",Strategy,No Online Multiplayer,T,30-Aug-11,78,78
Tom Clancy's Ghost Recon: Shadow Wars,3DS,Ubisoft,Action,,T,22-Mar-11,77,79
Sonic Generations,PC,Sega,Action,No Online Multiplayer,E,3-Nov-11,77,83
Men of War: Assault Squad,PC,"THQ, 1C, 1C Company",Strategy,,T,25-Feb-11,77,80
3D Classics: Kirby's Adventure,3DS,Arika,Action,1 Player,E,17-Nov-11,77,79
Section 8: Prejudice,PC,TimeGate Studios,Action,No Online Multiplayer,T,4-May-11,77,77
Might & Magic: Heroes VI,PC,Black Hole Games,Role-Playing,,T,13-Oct-11,77,60
Pro Evolution Soccer 2012,PC,Konami,Sports,,,27-Sep-11,77,65
Xenonauts,PC,"Gamethunks, Goldhawk Interactive",General,No Online Multiplayer,,4-Nov-11,77,79
Magic: The Gathering - Duels of the Planeswalkers 2012,PC,Stainless Games,Strategy,,T,15-Jun-11,77,58
The Sims Medieval,PC,The Sims Studio,Simulation,No Online Multiplayer,T,22-Mar-11,77,60
Hamilton's Great Adventure,PC,Fatshark AB,Adventure,No Online Multiplayer,E,31-May-11,77,74
From Dust,PC,Ubisoft Montpellier,Strategy,1 Player,E10+,17-Aug-11,76,49
Renegade Ops,PC,Avalanche Studios,Action,,T,26-Oct-11,76,75
LEGO Star Wars III: The Clone Wars,PC,Traveller's Tales,Action Adventure,,E10+,22-Mar-11,76,76
Red Orchestra 2: Heroes of Stalingrad,PC,Tripwire Interactive,Action,Online Multiplayer,M,13-Sep-11,76,73
Who's That Flying?!,PC,Mediatonic,Action,,,31-Jan-11,76,67
Payday: The Heist,PC,Overkill Software,Action,,M,20-Oct-11,76,77
Two Worlds II,PC,Reality Pump,Role-Playing,Online Multiplayer,M,3-Feb-11,76,64
Avadon: The Black Fortress,PC,Spiderweb Software,Role-Playing,1 Player,,2-May-11,75,77
Black Mirror III: Final Fear,PC,"DTP Entertainment, Cranberry Production",Adventure,,M,19-Apr-11,75,79
Red Faction: Armageddon,PC,Volition Inc.,Action,1 Player,M,6-Jun-11,75,67
Bit.Trip Saga,3DS,Gaijin Games,Miscellaneous,,E,13-Sep-11,75,79
Back to the Future: The Game - Episode V: OUTATIME,PC,Telltale Games,Action Adventure,,RP,23-Jun-11,75,72
Atom Zombie Smasher,PC,Blendo Games,Strategy,No Online Multiplayer,T,23-Jan-11,75,71
Fable III,PC,Lionhead Studios,Role-Playing,1 Player,M,17-May-11,75,55
Ridge Racer 3D,3DS,Namco Bandai Games,Driving,,E,22-Mar-11,75,73
Nano Assault,3DS,Shin'en,Action,,E10+,5-Dec-11,75,77
Alice: Madness Returns,PC,Spicy Horse,Action Adventure,1 Player,M,14-Jun-11,75,84
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,PC,Straandlooper,Action,,,27-Apr-11,75,71
The Next Big Thing,PC,Pendulo Studios,Adventure,,E10+,21-Apr-11,75,77
Back to the Future: The Game - Episode II: Get Tannen!,PC,Telltale Games,Action Adventure,,RP,17-Feb-11,74,73
Edge (2011),PC,"Two Tribes, Mobigame",Action,No Online Multiplayer,,11-Aug-11,74,75
Tetris Axis,3DS,Hudson Soft,Miscellaneous,1月8日,E,2-Oct-11,74,69
Space Pirates and Zombies,PC,MinMax Games Ltd.,Adventure,,,19-Jun-11,74,76
Magicka,PC,Arrowhead Game Studios,Action Adventure,,T,25-Jan-11,74,76
"Warhammer 40,000: Space Marine",PC,Relic,Action,16  Online,M,5-Sep-11,74,75
F.E.A.R. 3,PC,Day 1 Studios,Modern,1 Player,M,21-Jun-11,74,58
Rock of Ages,PC,ACE Team,Action,,E10+,7-Sep-11,74,77
Fortix 2,PC,Nemesys,Action Adventure,,,6-May-11,74,70
Deus Ex: Human Revolution - The Missing Link,PC,Eidos Montreal,Action Adventure,,M,18-Oct-11,73,73
Hector: Badge of Carnage - Episode 2: Senseless Acts of Justice,PC,Straandlooper,Action,,,25-Aug-11,73,66
LEGO Pirates of the Caribbean: The Video Game,PC,Traveller's Tales,Action Adventure,1 Player,E10+,24-May-11,73,69
The Blackwell Deception,PC,Wadjet Eye Games,Adventure,,,12-Oct-11,73,78
Hard Reset,PC,Flying Wild Hog,Action,,M,13-Sep-11,73,73
Pro Evolution Soccer 2011 3D,3DS,Konami,Sports,,E,25-Mar-11,73,69
Solar 2,PC,Murudai,Action,,,17-Jun-11,72,71
Serious Sam 3: BFE,PC,Croteam,Action,1 Player,,22-Nov-11,72,82
Blocks That Matter,PC,Swing Swing Submarine,Action,,,19-Aug-11,72,73
DC Universe Online,PC,WBIE,Role-Playing,Massively Multiplayer,T,11-Jan-11,72,68
Gray Matter,PC,Wizarbox,Adventure,,T,22-Feb-11,72,77
Dungeon Siege III,PC,Obsidian Entertainment,Role-Playing,4  Online,T,20-Jun-11,72,47
Test Drive Unlimited 2,PC,Eden,Driving,,T,8-Feb-11,72,57
FIFA Manager 12,PC,Bright Future GmbH,Sports,,E,18-Oct-11,72,40
Nintendogs + Cats: French Bulldog & New Friends,3DS,Nintendo,Simulation,,E,27-Mar-11,71,71
Back to the Future: The Game - Episode III: Citizen Brown,PC,Telltale Games,Action Adventure,,E,28-Mar-11,71,59
Nintendogs + Cats: Toy Poodle & New Friends,3DS,Nintendo,Simulation,,E,27-Mar-11,71,71
Nintendogs + Cats: Golden Retriever & New Friends,3DS,Nintendo,Simulation,,E,27-Mar-11,71,73
WWE All Stars,3DS,THQ,Action,,T,22-Nov-11,71,69
LEGO Harry Potter: Years 5-7,3DS,Traveller's Tales,Action Adventure,No Online Multiplayer,E10+,11-Nov-11,71,68
Nuclear Dawn,PC,Interwave Studios,Action,,M,22-Sep-11,71,76
LEGO Pirates of the Caribbean: The Video Game,3DS,Traveller's Tales,Action Adventure,1 Player,E10+,10-May-11,71,71
Ace Combat: Assault Horizon Legacy,3DS,Project Aces ,Action,,T,15-Nov-11,71,78
Black Mirror II: Reigning Evil,PC,Cranberry Studios,Adventure,,T,8-Feb-11,71,77
Pilotwings Resort,3DS,Monster Games Inc.,Simulation,,E,27-Mar-11,71,72
Back to the Future: The Game - Episode IV: Double Visions,PC,Telltale Games,Action Adventure,,RP,29-Apr-11,71,61
Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom,PC,Straandlooper,Action,,,22-Sep-11,70,75
Age of Empires Online,PC,Gas Powered Games,Strategy,,E10+,16-Aug-11,70,57
Sanctum (2011),PC,Coffee Stain Studios,Action,,,15-Apr-11,70,67
Take On Helicopters,PC,Bohemia Interactive,Simulation,,T,16-Oct-11,70,67
Cities in Motion,PC,Colossal Order,Simulation,No Online Multiplayer,E,22-Feb-11,70,77
Brink,PC,Splash Damage,Action,16  Online,T,9-May-11,70,60
The Sims 3: Generations,PC,The Sims Studio,Simulation,1 Player,T,31-May-11,70,37
Fallout: New Vegas - Dead Money,PC,Obsidian Entertainment,Role-Playing,,M,22-Feb-11,70,63
Before the Echo,PC,Iridium Studios,Action,,,20-Oct-11,70,74
Homefront,PC,Digital Extremes,Action,,M,14-Mar-11,70,55
Pride of Nations,PC,"Paradox Interactive, AGEOD",Strategy,1 Player,T,7-Jun-11,70,56
Fate of the World,PC,Red Redemption,Strategy,,,28-Feb-11,70,76
Sengoku,PC,Paradox Development Studio,Strategy,,T,13-Sep-11,70,68
